Model,Fold,ROC_AUC,Accuracy,Precision,Recall,F1
DecisionTree,1,0.8737992410672824,0.8055376690276883,0.7892813641900122,0.833976833976834,0.8110137672090113
DecisionTree,2,0.8603439858114571,0.7905927835051546,0.768772348033373,0.8311855670103093,0.7987616099071208
DecisionTree,3,0.8619730776384311,0.8002577319587629,0.7780429594272077,0.8402061855670103,0.8079306071871127
DecisionTree,4,0.8462409660962908,0.7654639175257731,0.7229437229437229,0.8608247422680413,0.7858823529411765
DecisionTree,5,0.8697066970453821,0.7976804123711341,0.7880299251870324,0.8144329896907216,0.8010139416983524
GBM,1,0.9465173015430747,0.8731487443657437,0.8571428571428571,0.8957528957528957,0.8760226557583386
GBM,2,0.9329407017217557,0.8492268041237113,0.8565789473684211,0.8389175257731959,0.84765625
GBM,3,0.9293005699330428,0.8479381443298969,0.8488372093023255,0.8466494845360825,0.847741935483871
GBM,4,0.9246374814007865,0.8479381443298969,0.8426395939086294,0.8556701030927835,0.8491048593350383
GBM,5,0.9380455215750876,0.8627577319587629,0.8708827404479579,0.8518041237113402,0.8612377850162867
XGBoost,1,0.9462527697063778,0.8679974243399872,0.8454106280193237,0.9009009009009009,0.8722741433021807
XGBoost,2,0.9361141925284302,0.8563144329896907,0.8614379084967321,0.8492268041237113,0.8552887735236859
XGBoost,3,0.9329705933149113,0.8518041237113402,0.8482142857142857,0.8569587628865979,0.8525641025641025
XGBoost,4,0.9254370815176957,0.8440721649484536,0.8345864661654135,0.8582474226804123,0.8462515883100381
XGBoost,5,0.9406286534169414,0.8621134020618557,0.8658854166666666,0.8569587628865979,0.8613989637305699
RandomForest,1,0.9367122092637556,0.8673535093367676,0.8494492044063647,0.8931788931788932,0.8707653701380176
RandomForest,2,0.9240894688596024,0.8524484536082474,0.8565840938722294,0.8466494845360825,0.8515878159429683
RandomForest,3,0.918277214634924,0.8414948453608248,0.8380102040816326,0.8466494845360825,0.8423076923076923
RandomForest,4,0.9065381217451377,0.8279639175257731,0.8161490683229814,0.8466494845360825,0.8311195445920304
RandomForest,5,0.927820105749814,0.8608247422680413,0.8617571059431525,0.8595360824742269,0.8606451612903225
LogisticRegression,1,0.8730330109196087,0.7945911139729556,0.7732696897374701,0.833976833976834,0.8024767801857585
LogisticRegression,2,0.85841680837496,0.7802835051546392,0.7580071174377224,0.8234536082474226,0.7893761581222977
LogisticRegression,3,0.84260166462961,0.7577319587628866,0.7375296912114014,0.8002577319587629,0.7676143386897404
LogisticRegression,4,0.8373498777765969,0.75,0.7240184757505773,0.8079896907216495,0.7637028014616322
LogisticRegression,5,0.8673311457115527,0.7847938144329897,0.7790404040404041,0.7951030927835051,0.7869897959183674
SVC,1,0.8959850867067362,0.8100450740502254,0.7848699763593381,0.8545688545688546,0.818237831176833
SVC,2,0.8891021893931343,0.8028350515463918,0.7790973871733967,0.845360824742268,0.8108776266996292
SVC,3,0.8740135774258688,0.7757731958762887,0.7584541062801933,0.8092783505154639,0.7830423940149626
SVC,4,0.8723944494632798,0.782860824742268,0.760998810939358,0.8247422680412371,0.7915893630179345
SVC,5,0.9010621479434583,0.8086340206185567,0.8043202033036849,0.8157216494845361,0.8099808061420346
NeuralNet,1,0.8802740516658043,0.7920154539600772,0.7830423940149626,0.8082368082368082,0.7954401519949335
NeuralNet,2,0.8707354660431502,0.791881443298969,0.760644418872267,0.8518041237113402,0.8036474164133739
NeuralNet,3,0.8720847393453077,0.8105670103092784,0.7701793721973094,0.8853092783505154,0.8237410071942446
NeuralNet,4,0.8552781910936337,0.779639175257732,0.744920993227991,0.8505154639175257,0.7942238267148014
NeuralNet,5,0.8735170448506748,0.7847938144329897,0.7735148514851485,0.8054123711340206,0.7891414141414141
AdaBoost,1,0.9326165266886918,0.8557630392788153,0.8303464755077659,0.8944658944658944,0.8612143742255266
AdaBoost,2,0.9151269728451482,0.8247422680412371,0.8014354066985646,0.8634020618556701,0.8312655086848635
AdaBoost,3,0.9096617932298863,0.8324742268041238,0.8056872037914692,0.8762886597938144,0.8395061728395061
AdaBoost,4,0.9018335171112765,0.803479381443299,0.7767332549941246,0.8518041237113402,0.8125384142593731
AdaBoost,5,0.9196040692422149,0.8344072164948454,0.822360248447205,0.8530927835051546,0.8374446552814674
LightGBM,1,0.9443902665552151,0.8602704443013522,0.8422982885085575,0.8867438867438867,0.8639498432601881
LightGBM,2,0.9378960636093101,0.8550257731958762,0.8601307189542484,0.8479381443298969,0.853990914990266
LightGBM,3,0.9304779665745563,0.845360824742268,0.8383838383838383,0.8556701030927835,0.8469387755102041
LightGBM,4,0.9271458842597513,0.8414948453608248,0.8337531486146096,0.8530927835051546,0.8433121019108281
LightGBM,5,0.9400532402486981,0.8646907216494846,0.8723684210526316,0.854381443298969,0.86328125
CatBoost,1,0.9483408297841287,0.8763683193818416,0.862453531598513,0.8957528957528957,0.8787878787878788
CatBoost,2,0.9354208736316293,0.8614690721649485,0.8676277850589778,0.8530927835051546,0.8602988953866146
CatBoost,3,0.93388477787225,0.8537371134020618,0.8541935483870968,0.8530927835051546,0.8536428110896196
CatBoost,4,0.9253988867042193,0.8447164948453608,0.8407643312101911,0.8505154639175257,0.8456117873158232
CatBoost,5,0.9432449981400787,0.8679123711340206,0.8702983138780804,0.8646907216494846,0.8674854557207499
